source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726673,466100078,0.0001926,7.06577e-05,-0.000374687,0.00090213,0.0013151,-0.000150809,0.999999
vins,1776726673,482736078,0.000224101,0.000140303,-0.000330606,0.000933826,0.00129593,-0.000145625,0.999999
vins,1776726673,515805078,-1.98767e-06,0.000290709,-0.000270448,0.000969405,0.00128629,-0.000146828,0.999999
vins,1776726673,532947078,-3.08953e-05,0.000353214,-0.000209242,0.0010026,0.00128309,-0.000103,0.999999
vins,1776726673,549502078,-7.7119e-05,0.000374233,-0.000208321,0.000997207,0.00126409,-8.235e-05,0.999999
vins,1776726673,566231078,-6.82328e-05,0.00028764,-0.000274944,0.000972678,0.00130836,-5.216e-05,0.999999
vins,1776726673,582609078,-4.77989e-05,0.000298485,-0.000265416,0.000936294,0.00129567,-5.48923e-05,0.999999
vins,1776726673,618407078,-8.12644e-05,0.000219665,-0.000200114,0.000892071,0.00136139,-4.2126e-05,0.999999
vins,1776726673,682728078,-7.47479e-05,0.000347724,-0.000195597,0.000966073,0.00130144,-0.000117705,0.999999
vins,1776726673,782848078,-0.000281384,0.000314998,-0.000259841,0.000946399,0.00126537,-0.000111577,0.999999
vins,1776726673,832855078,-7.81521e-05,0.000153048,-0.000284608,0.000946504,0.00129503,-0.000103925,0.999999
vins,1776726673,849399078,6.97962e-05,6.88187e-05,-0.000265746,0.000948184,0.00132265,-9.85155e-05,0.999999
vins,1776726673,882847078,4.23667e-05,0.000170754,-0.000171924,0.000969332,0.00131174,-9.17849e-05,0.999999
vins,1776726673,899889078,-1.10962e-05,0.000193322,-0.00018424,0.0009594,0.00132994,-9.43858e-05,0.999999
vins,1776726673,916103078,0.000108797,0.000167645,-0.000186723,0.000961439,0.00129086,-9.13574e-05,0.999999
vins,1776726673,932845078,0.000104369,0.000185378,-0.000205921,0.000960152,0.00130394,-0.000103111,0.999999
vins,1776726673,949382078,7.38488e-05,0.000240542,-0.00020979,0.000947148,0.00132277,-9.12434e-05,0.999999
vins,1776726673,982863078,-4.65685e-05,0.000171718,-0.000144019,0.000960099,0.00128495,-8.35062e-05,0.999999
vins,1776726674,315078,-4.68776e-05,0.000104567,-0.000129124,0.000944618,0.00130614,-7.39039e-05,0.999999
vins,1776726674,16094078,-5.80028e-05,6.76302e-05,-0.00017653,0.00093494,0.00129536,-6.87044e-05,0.999999
vins,1776726674,32855078,-6.70566e-05,9.82708e-05,-0.000194797,0.00092905,0.00133572,-7.6109e-05,0.999999
vins,1776726674,49393078,-0.000102579,0.000137364,-0.000128667,0.000920472,0.00132428,-0.000105543,0.999999
vins,1776726674,66140078,-0.000174744,0.000194418,-0.000117867,0.000933334,0.00131273,-0.000128008,0.999999
vins,1776726674,82829078,-0.000190655,0.000270612,-0.000112892,0.000939348,0.00133993,-0.000141001,0.999999
vins,1776726674,99370078,-8.49227e-05,0.000190459,-0.000114963,0.000955751,0.00130793,-0.000144799,0.999999
vins,1776726674,116149078,1.66873e-05,0.000154208,-0.000206384,0.000962177,0.00128825,-0.00014068,0.999999
vins,1776726674,132883078,-2.67902e-05,0.000207886,-0.000200079,0.00095465,0.0013142,-0.000126777,0.999999
vins,1776726674,149417078,-7.85732e-05,0.000259924,-0.000150084,0.000960698,0.00130053,-0.00010897,0.999999
vins,1776726674,166104078,-0.000138267,0.000290814,-0.000207528,0.000951871,0.00130689,-9.58839e-05,0.999999
vins,1776726674,182870078,-0.000204594,0.000328909,-0.000167764,0.000931911,0.00133593,-7.5626e-05,0.999999
vins,1776726674,199349078,-0.000170252,0.000243081,-0.000165388,0.000924613,0.00131362,-6.37459e-05,0.999999
vins,1776726674,216126078,-0.000150753,0.000177369,-0.000146845,0.000904969,0.00133469,-5.58315e-05,0.999999
vins,1776726674,232867078,-0.000135884,0.00019691,-0.000166925,0.000910371,0.00133513,-4.86822e-05,0.999999
vins,1776726674,249447078,-8.60383e-05,0.000137124,-0.000188763,0.000913201,0.00132498,-4.88339e-05,0.999999
vins,1776726674,266106078,-6.41219e-05,0.000182148,-0.000194166,0.000921182,0.00132535,-5.75272e-05,0.999999
vins,1776726674,282886078,2.11115e-05,0.000133892,-0.000191551,0.000930175,0.00131909,-7.37544e-05,0.999999
vins,1776726674,299352078,5.79723e-05,0.000116233,-0.000203357,0.00094536,0.00130356,-8.67565e-05,0.999999
vins,1776726674,316138078,1.6589e-06,0.000203002,-0.000183513,0.000946287,0.00130628,-0.00011669,0.999999
